age,gender,size,breed
10,Female,Medium,Abyssinian
10,Male,Extra Large,Abyssinian
6,Female,Medium,Abyssinian
2,Female,Small,Abyssinian
6,Female,Medium,Abyssinian
6,Male,Medium,Abyssinian
4,Male,Medium,Abyssinian
10,Male,Medium,Abyssinian
10,Female,Small,Abyssinian
10,Female,Medium,Abyssinian
2,Female,Medium,Abyssinian
2,Female,Medium,Abyssinian
10,Female,Medium,Abyssinian
4,Female,Medium,Abyssinian
4,Male,Large,Abyssinian
10,Male,Large,Abyssinian
4,Unknown,Medium,Abyssinian
4,Female,Extra Large,Abyssinian
10,Male,Large,Abyssinian
10,Female,Medium,Abyssinian
4,Female,Small,Abyssinian
10,Male,Medium,Abyssinian
10,Male,Small,Abyssinian
10,Female,Medium,American Bobtail
10,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Small,American Bobtail
2,Male,Small,American Bobtail
2,Male,Small,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Large,American Bobtail
4,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Extra Large,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Small,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Small,American Bobtail
2,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
10,Male,Large,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
10,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Extra Large,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Male,Small,American Bobtail
6,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Female,Small,American Bobtail
10,Female,Small,American Bobtail
10,Female,Small,American Bobtail
10,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Small,American Bobtail
4,Male,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
4,Female,Small,American Bobtail
6,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
6,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
2,Female,Small,American Bobtail
10,Male,Large,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
6,Female,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
2,Female,Small,American Bobtail
4,Female,Small,American Bobtail
10,Female,Large,American Bobtail
10,Female,Medium,American Bobtail
6,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Extra Large,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
10,Female,Small,American Bobtail
10,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Small,American Bobtail
2,Female,Small,American Bobtail
10,Female,Small,American Bobtail
10,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Large,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Small,American Bobtail
6,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
10,Female,Small,American Bobtail
2,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Large,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
6,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
6,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
6,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
6,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Female,Small,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
4,Male,Large,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
6,Female,Large,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
6,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
4,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
2,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Small,American Bobtail
6,Male,Large,American Bobtail
2,Female,Small,American Bobtail
2,Male,Small,American Bobtail
2,Male,Small,American Bobtail
4,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Female,Small,American Bobtail
10,Male,Medium,American Bobtail
4,Male,Small,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
4,Female,Small,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
6,Male,Medium,American Bobtail
2,Male,Large,American Bobtail
10,Male,Large,American Bobtail
4,Female,Small,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Large,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Large,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
4,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Small,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Large,American Bobtail
10,Male,Large,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
2,Male,Large,American Bobtail
4,Male,Small,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
4,Female,Small,American Bobtail
10,Male,Large,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Female,Small,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
6,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
6,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
10,Male,Small,American Bobtail
6,Male,Large,American Bobtail
4,Female,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Male,Medium,American Bobtail
2,Male,Large,American Bobtail
2,Male,Large,American Bobtail
4,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
4,Male,Small,American Bobtail
4,Male,Small,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Extra Large,American Bobtail
6,Male,Large,American Bobtail
4,Female,Large,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Small,American Bobtail
6,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
6,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Male,Medium,American Bobtail
4,Female,Small,American Bobtail
2,Female,Small,American Bobtail
10,Male,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
6,Male,Medium,American Bobtail
4,Male,Large,American Bobtail
10,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Small,American Bobtail
10,Female,Medium,American Bobtail
10,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
10,Male,Large,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
10,Male,Large,American Bobtail
4,Male,Medium,American Bobtail
2,Female,Medium,American Bobtail
4,Female,Medium,American Bobtail
4,Male,Small,American Bobtail
2,Male,Medium,American Bobtail
4,Female,Medium,American Bobtail
2,Female,Small,American Bobtail
4,Female,Small,American Bobtail
2,Female,Medium,American Bobtail
10,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Medium,American Bobtail
10,Male,Large,American Bobtail
4,Female,Medium,American Bobtail
2,Male,Small,American Bobtail
2,Female,Medium,American Bobtail
4,Male,Medium,American Bobtail
10,Male,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Medium,American Curl
2,Male,Small,American Curl
10,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Large,American Curl
4,Male,Large,American Curl
10,Female,Medium,American Curl
10,Male,Medium,American Curl
2,Male,Small,American Curl
4,Male,Small,American Curl
10,Female,Medium,American Curl
4,Female,Medium,American Curl
4,Female,Medium,American Curl
10,Male,Medium,American Curl
10,Male,Medium,American Curl
4,Female,Medium,American Curl
2,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Small,American Curl
2,Female,Medium,American Curl
10,Female,Medium,American Curl
4,Male,Medium,American Curl
10,Female,Small,American Curl
4,Female,Medium,American Curl
4,Male,Small,American Curl
10,Female,Large,American Curl
4,Male,Large,American Curl
4,Male,Large,American Curl
4,Female,Medium,American Curl
4,Female,Small,American Curl
10,Male,Large,American Curl
10,Male,Medium,American Curl
4,Male,Large,American Curl
10,Female,Medium,American Curl
4,Male,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Small,American Curl
4,Male,Medium,American Curl
4,Female,Small,American Curl
4,Male,Medium,American Curl
4,Female,Medium,American Curl
2,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Male,Small,American Curl
10,Female,Medium,American Curl
2,Male,Large,American Curl
10,Female,Large,American Curl
4,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Male,Large,American Curl
6,Female,Medium,American Curl
4,Male,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Medium,American Curl
2,Male,Small,American Curl
6,Female,Large,American Curl
4,Female,Medium,American Curl
10,Female,Large,American Curl
4,Female,Small,American Curl
4,Female,Small,American Curl
4,Female,Small,American Curl
4,Female,Medium,American Curl
10,Female,Small,American Curl
4,Female,Medium,American Curl
4,Female,Medium,American Curl
6,Female,Medium,American Curl
6,Female,Medium,American Curl
10,Female,Medium,American Curl
4,Male,Medium,American Curl
4,Male,Medium,American Curl
4,Female,Medium,American Curl
4,Male,Medium,American Curl
10,Female,Small,American Curl
4,Female,Small,American Curl
10,Female,Small,American Curl
10,Female,Small,American Curl
2,Female,Small,American Curl
10,Male,Medium,American Curl
4,Female,Medium,American Curl
10,Female,Medium,American Curl
2,Female,Small,American Curl
2,Female,Small,American Curl
2,Female,Small,American Curl
10,Female,Small,American Curl
2,Male,Medium,American Curl
2,Female,Medium,American Curl
2,Female,Medium,American Curl
10,Male,Extra Large,American Curl
6,Female,Medium,American Curl
10,Female,Medium,American Curl
2,Male,Medium,American Curl
4,Female,Medium,American Curl
10,Female,Small,American Curl
2,Male,Medium,American Curl
2,Female,Medium,American Curl
4,Female,Small,American Curl
2,Male,Small,American Curl
2,Male,Small,American Curl
4,Female,Medium,American Curl
4,Female,Small,American Curl
4,Female,Small,American Curl
10,Female,Large,American Curl
4,Male,Medium,American Curl
2,Female,Medium,American Curl
4,Female,Small,American Curl
6,Male,Medium,American Curl
10,Male,Medium,American Curl
4,Female,Medium,American Curl
2,Female,Medium,American Curl
10,Female,Medium,American Curl
10,Female,Small,American Curl
4,Female,Medium,American Curl
10,Male,Large,American Curl
10,Female,Large,American Curl
10,Male,Small,American Curl
6,Female,Medium,American Curl
10,Male,Medium,American Curl
10,Male,Small,American Curl
2,Male,Medium,American Curl
10,Female,Small,American Curl
2,Male,Small,American Curl
10,Female,Medium,American Curl
4,Female,Small,American Curl
2,Male,Small,American Curl
2,Male,Small,American Curl
2,Male,Small,American Curl
10,Male,Large,American Curl
4,Male,Medium,American Curl
4,Male,Large,American Curl
4,Female,Small,American Curl
2,Male,Small,American Curl
10,Male,Large,American Curl
